0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 2, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 5, 3, 5, 0, 2, 9, 8, 7, 5, 6, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 5, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 6, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 5, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 4, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 4, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 6, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 4, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 2, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 0, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 4, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 2, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 2, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 5, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 0, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 4, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 6, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 5, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 9, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 4, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 5, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 4, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 5, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 4, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 4, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 2, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 2, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 6, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 2, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 2, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 2, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 2, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 2, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 2, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 4, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 2, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 1, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 5, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 1, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 2, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 1, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 2, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 4, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 4, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 0, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 5, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 3, 2, 2, 0, 5, 3, 4, 9, 8, 0, 0, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 2, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 4, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 0, 3, 10, 8, 4, 3, 1, 0, 3, 9, 4, 6, 9, 4, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
4, 4, 0, 8, 6, 5, 0, 5, 8, 9, 5, 4, 9, 0, 2, 10, 0, 1, 7, 3, 3, 9, 0, 9, 0, 0, 1, 7, 6, 4, 2, 1, 5, 9, 6, 9, 9, 6, 0, 5, 0, 1, 7, 1, 4, 8, 9, 5, 4, 6, 4, 6, 7, 1, 6, 8, 2, 1, 0, 3, 5, 6, 6, 3, 5, 0, 2, 9, 8, 7, 5, 9, 9, 5, 4, 1, 0, 0, 7, 3, 1, 4, 4, 9, 8, 2, 7, 3, 6, 6, 0, 2, 2, 0, 5, 3, 4, 9, 8, 0, 4, 6, 1, 2, 5, 5, 8, 1, 6, 0, 7, 1, 7, 4, 2, 5, 7, 6, 1, 7, 2, 2, 6, 3, 8, 9, 4, 9, 8, 2, 7, 3, 4, 6, 3, 0, 2, 3, 6, 2, 5, 6, 8, 0, 9, 4, 4, 4, 5, 2, 2, 1, 6, 1, 9, 0, 3, 2, 0, 5, 3, 8, 3, 3, 10, 8, 4, 3, 1, 4, 3, 9, 4, 6, 9, 4, 4, 2, 6, 3, 7, 10, 2, 3, 9, 3, 0, 0, 5, 0, 1, 7, 3, 8, 0, 0, 1, 4, 3, 6
